title,gross,valence,arousal,dominance
Killer Elite ,25093607,0.364500012,0.837500006,0.639999986
The Giver ,45089048,0.688000023,0.414999992,0.657999992
The Purge: Anarchy ,71519230,0.135499999,0.66049999,0.473499998
Cars 2 ,191450875,0.776000023,0.540000021,0.5
Halloween III: Season of the Witch ,14400000,0.624199998,0.470199996,0.456999999
Cursed ,19294901,0.076,0.787666678,0.404666672
Flight ,93749203,0.646000028,0.629999995,0.587000012
Alvin and the Chipmunks ,217326336,0.573000014,0.561999977,0.409000009
The Dead Girl ,17311,0.311666672,0.625,0.397000005
The Sweetest Thing ,24430272,0.642333329,0.324000001,0.332666665
The Walk ,10137502,0.675500005,0.445999995,0.615500003
Deconstructing Harry ,10569071,0.519999981,0.409000009,0.389999986
Life as a House ,15561627,0.760333339,0.351333335,0.649333338
Young Guns ,44726644,0.479499988,0.719999999,0.625
World Trade Center ,70236496,0.579799992,0.476600003,0.574199992
Fright Night ,18298649,0.393249992,0.594249994,0.381000008
12 Years a Slave ,56667870,0.489500001,0.426000006,0.376249999
A Guy Thing ,15408822,0.517,0.279666672,0.391333332
The Last of the Mohicans ,72455275,0.80400002,0.535000026,0.745000005
Superman III ,60000000,0.944999993,0.79400003,0.92900002
Arlington Road ,24362501,0.666500002,0.426000014,0.450000003
Fiddler on the Roof ,50000000,0.608500004,0.40299999,0.421000004
Police Academy: Mission to Moscow ,126247,0.642333329,0.625333329,0.830666661
Do You Believe? ,12985267,0.748400009,0.436999995,0.660399997
The Jerky Boys ,7557877,0.439500012,0.464999989,0.401500002
The Crazies ,39103378,0.197000004,0.875499994,0.288000003
"Good Night, and Good Luck. ",31501218,0.80299999,0.407428571,0.600857139
Survival of the Dead ,101055,0.430400005,0.752199996,0.614800012
Tanner Hall ,5005,0.50999999,0.340000004,0.423999995
Now You See Me 2 ,64685359,0.63499999,0.268999994,0.312000006
Interview with the Vampire: The Vampire Chronicles ,105264608,0.455749996,0.719749987,0.641500011
Water for Elephants ,58700247,0.652666668,0.307666662,0.473666668
Takers ,57744720,0.375,0.521000028,0.617999971
Journey 2: The Mysterious Island ,103812241,0.63000001,0.603750005,0.507750005
Rock Star ,16991902,0.654250011,0.346000012,0.535999991
Brokeback Mountain ,83025853,0.683499992,0.533499993,0.591250002
Racing Stripes ,49186871,0.521666676,0.366999994,0.467999995
We Bought a Zoo ,75621915,0.75999999,0.519999981,0.579999983
The English Patient ,78651430,0.583000004,0.193000004,0.340000004
Be Cool ,55808744,0.614666671,0.390333345,0.573666662
Austin Powers: The Spy Who Shagged Me ,205399422,0.62299999,0.674399996,0.749799997
Under the Skin ,2605039,0.569000006,0.349999994,0.395000011
The Astronaut's Wife ,10654581,0.838999987,0.615500003,0.671999991
Outbreak ,67823573,0.25999999,0.632000029,0.472000003
The 40-Year-Old Virgin ,109243478,0.59757142,0.410571435,0.452999996
Beastly ,27854896,0.18,0.826999992,0.787499994
Buried ,1028658,0.105,0.550499976,0.357999995
The Way of the Gun ,6047856,0.438333338,0.585000008,0.519333333
The Jimmy Show ,703,0.624666651,0.54400002,0.506999989
Crocodile Dundee in Los Angeles ,25590119,0.725666672,0.388000006,0.660666664
The Sixth Sense ,293501675,0.680666685,0.384333332,0.511000007
